id,interval_end,last_price,volume_ETH,weighted_price
250,2017-10-02 17:50:00,295.88500004,173.86838797,295.199480091
251,2017-10-02 18:00:00,295.26,165.80138775,295.322964451
252,2017-10-02 18:10:00,295.06269999,76.06365463,294.59031238
253,2017-10-02 18:20:00,295.47319998,98.33369988,294.078064797
254,2017-10-02 18:30:00,294.87999996,125.31802533,294.995927232
255,2017-10-02 18:40:00,294.15900014,81.64849836,294.639113661
256,2017-10-02 18:50:00,294.49,65.17232202,294.631873892
257,2017-10-02 19:00:00,294.89999983,54.84469474,294.851471623
258,2017-10-02 19:10:00,295.59641997,30.48847101,295.006113163
259,2017-10-02 19:20:00,294.92139002,26.71382148,294.94673275
260,2017-10-02 19:30:00,297.021391,39.48818372,296.581316777
261,2017-10-02 19:40:00,296.82021002,39.79748244,296.974318246
262,2017-10-02 19:50:00,297.89999981,44.61801355,297.75159101
263,2017-10-02 20:00:00,297.00000006,111.5163355,297.790661655
264,2017-10-02 20:10:00,297.98628354,33.76330423,297.847493675
265,2017-10-02 20:20:00,297.40000006,108.02188434,297.949379369
266,2017-10-02 20:30:00,296.10000001,66.44521196,296.216474154
267,2017-10-02 20:40:00,296.83499968,106.3339882,296.505679413
268,2017-10-02 20:50:00,297.99999998,163.2501846,297.994662748
269,2017-10-02 21:00:00,297.59999379,13.41420032,297.459523717
270,2017-10-02 21:10:00,297.0,36.57556674,297.000004649
271,2017-10-02 21:20:00,296.99922908,7.86160259,296.491258731
272,2017-10-02 21:30:00,296.56999813,21.0629063,296.102536348
273,2017-10-02 21:40:00,296.56999158,26.46346414,295.754414991
274,2017-10-02 21:50:00,296.0,73.4436261,296.213992232
275,2017-10-02 22:00:00,295.34200004,36.18940517,295.522617601
276,2017-10-02 22:10:00,295.22724513,130.11011533,295.369447589
277,2017-10-02 22:20:00,296.15319983,6.07067428,295.711044334
278,2017-10-02 22:30:00,296.45999997,27.01915444,296.184818406
279,2017-10-02 22:40:00,296.39999999,7.7613479,296.399999996
280,2017-10-02 22:50:00,296.3,104.16375368,296.794469413
281,2017-10-02 23:00:00,296.29999958,6.43990436,296.773352265
282,2017-10-02 23:10:00,296.44667923,66.86219618,296.258929165
283,2017-10-02 23:20:00,297.15894982,53.34623202,296.651426241
284,2017-10-02 23:30:00,296.23999997,16.8073625,296.264072487
285,2017-10-02 23:40:00,297.03978733,32.40531205,296.231792525
286,2017-10-02 23:50:00,297.03999815,17.336125,297.021318017
287,2017-10-03 00:00:00,297.1,41.09972458,296.914989442
288,2017-10-03 00:10:00,297.06999901,13.12119784,297.106091758
289,2017-10-03 00:20:00,297.49,9.34332186,297.267874997
290,2017-10-03 00:30:00,298.0,13.69628071,297.600296855
291,2017-10-03 00:40:00,298.0,31.11886547,297.998558546
292,2017-10-03 00:50:00,298.0,30.94869411,297.938573016
