Time,bitfinex,bitstamp,cex.io,coinbase,gemini,hitbtc,itbit,kraken,others,therocktrading
2017-11-12 14:00:00 UTC,6128.586027,6191.367194,6447.697875,6167.612925,6165.666862,6176.163996,6152.322214,6158.117186,6164.486475,6202.82
2017-11-12 15:00:00 UTC,6184.018147,6241.941478,6474.245277,6211.15269,6208.897058,6259.914173,6203.411779,6190.941437,6168.204488,6267.158
2017-11-12 16:00:00 UTC,6148.414023,6196.114727,6441.65852,6184.160713,6184.465794,6191.711227,6177.818213,6177.568338,6170.28176,6252.886667
2017-11-12 17:00:00 UTC,6091.315588,6132.272956,6380.456005,6108.034447,6116.908612,6120.381385,6113.005099,6082.150234,6102.105059,6238.03
2017-11-12 18:00:00 UTC,6105.461724,6165.424591,6397.469259,6114.256892,6129.867844,6142.292061,6122.275198,6073.08549,6096.862127,6161.745
2017-11-12 19:00:00 UTC,6052.59362,6095.209117,6346.464655,6079.195823,6062.141653,6110.324365,6070.368132,6084.634653,6081.696479,6185.705
2017-11-12 20:00:00 UTC,6014.650428,6035.636889,6290.247131,6039.791741,6032.197289,6065.552645,6027.56954,6034.601774,6024.158508,6150.01
2017-11-12 21:00:00 UTC,5861.415131,5894.369874,6135.555853,5883.226996,5878.60554,5887.198044,5865.569877,5862.029199,5855.67979,5978.08
2017-11-12 22:00:00 UTC,5734.919319,5795.006019,6008.08137,5792.307837,5757.936067,5797.849744,5770.248818,5740.409621,5771.285431,5821.67875
2017-11-12 23:00:00 UTC,5725.7295,5795.105033,6025.273533,5795.535938,5769.985373,5796.884443,5766.850724,5714.49526,5738.846997,5893.055
2017-11-13 00:00:00 UTC,5904.838108,5966.179887,6157.782028,5965.848526,5931.440516,5967.313201,5923.868462,5887.162653,5950.721593,5986.07
2017-11-13 01:00:00 UTC,5866.853263,5933.417563,6084.139589,5914.929368,5885.102,5891.416328,5885.875667,5868.884479,5951.947243,6002.39
2017-11-13 02:00:00 UTC,5884.75417,5931.55164,6130.092504,5927.469924,5895.773242,5943.473781,5885.837569,5884.759481,5895.689579,5987.97
2017-11-13 03:00:00 UTC,5964.730055,5991.991219,6198.177756,5994.782812,5962.317846,6062.386541,5966.549933,5958.836942,5938.187848,
2017-11-13 04:00:00 UTC,5993.131513,6034.137753,6265.934617,6031.279994,6006.541433,6128.48763,5996.149638,6018.250617,5959.374248,
2017-11-13 05:00:00 UTC,6160.313557,6184.731751,6436.0194,6201.287899,6187.440226,6222.317006,6135.302344,6168.510938,6160.286324,6174.601429
2017-11-13 06:00:00 UTC,6245.522915,6268.018904,6489.554873,6274.105053,6274.324292,6280.547844,6239.793846,6275.621801,6223.876448,6340.19
2017-11-13 07:00:00 UTC,6203.366045,6240.618781,6466.568059,6268.604743,6239.441675,6229.999008,6238.764912,6238.747532,6200.667759,6386.005
2017-11-13 08:00:00 UTC,6230.364792,6279.286772,6501.594845,6287.737211,6278.743535,6262.704389,6271.129296,6243.03956,6193.379718,6389.293333
2017-11-13 09:00:00 UTC,6307.757552,6371.034545,6551.286564,6355.182824,6354.550532,6309.331849,6343.51483,6306.113401,6321.542714,
2017-11-13 10:00:00 UTC,6354.556714,6404.901797,6641.588115,6411.202905,6409.395684,6359.143698,6413.5488,6426.123104,6309.635672,6465.794615
2017-11-13 11:00:00 UTC,6446.634576,6519.570794,6789.849659,6532.372065,6525.88028,6458.199528,6528.522249,6522.773907,6420.775214,6515.962174
2017-11-13 12:00:00 UTC,6483.930441,6575.365157,6853.02301,6595.34739,6595.8253,6498.926522,6574.25219,6574.401235,6471.969116,6585.782381
2017-11-13 13:00:00 UTC,6586.003201,6691.720008,6946.152317,6748.96878,6723.383647,6635.479733,6721.371198,6766.262443,6650.619453,6735.461429
2017-11-13 14:00:00 UTC,6458.036658,6553.169014,6776.224164,6573.431771,6555.638607,6462.268123,6528.819282,6610.595814,6513.091856,6593.514667
2017-11-13 15:00:00 UTC,6514.993647,6612.294952,6856.153462,6616.625821,6576.950444,6507.908209,6578.424286,6592.526198,6555.386379,6581.429286
2017-11-13 16:00:00 UTC,6442.892388,6567.409257,6787.491451,6592.488131,6546.569121,6457.230202,6562.274142,6590.995195,6506.478756,6653.890714
2017-11-13 17:00:00 UTC,6379.725161,6482.867823,6713.074408,6494.525486,6460.914773,6380.458046,6468.902784,6504.903835,6406.64562,6527.652
2017-11-13 18:00:00 UTC,6261.459781,6396.652195,6612.54903,6392.55898,6367.931475,6257.034418,6352.882508,6382.139049,6329.80131,6450.553125
2017-11-13 19:00:00 UTC,6357.421882,6456.537786,6702.160467,6452.453925,6454.834926,6342.276269,6444.218413,6452.777489,6368.696274,6432.2275
2017-11-13 20:00:00 UTC,6338.029918,6426.694042,6678.242915,6436.877613,6438.73647,6334.985962,6430.791181,6473.701601,6386.105564,
2017-11-13 21:00:00 UTC,6445.911272,6519.588418,6778.644379,6542.005085,6514.91135,6445.608575,6515.230143,6557.907375,6475.82066,6538.11
2017-11-13 22:00:00 UTC,6408.744124,6484.029597,6762.690967,6491.922145,6482.277561,6410.739385,6482.958745,6509.730776,6403.091315,
2017-11-13 23:00:00 UTC,6453.432435,6504.982359,6777.320683,6505.741788,6530.026087,6450.311163,6493.019485,6515.058204,6405.266716,6546.213
2017-11-14 00:00:00 UTC,6550.639451,6601.845129,6825.411461,6591.089295,6603.023005,6565.73545,6582.047278,6612.739652,6536.391126,6628.76
2017-11-14 01:00:00 UTC,6604.733986,6659.316049,6879.273724,6658.140923,6682.287017,6614.77741,6652.95193,6713.055164,6550.199743,6758.576667
2017-11-14 02:00:00 UTC,6601.380174,6640.195177,6874.500102,6648.461167,6670.688153,6601.681103,6644.544394,6693.63698,6537.79227,6732.072
2017-11-14 03:00:00 UTC,6644.093836,6696.227132,6911.04807,6701.880586,6716.390501,6648.469107,6695.871079,6745.53675,6595.32649,6745.58
2017-11-14 04:00:00 UTC,6584.994898,6634.14903,6868.996093,6634.695843,6664.309531,6598.919989,6632.78642,6694.456017,6617.681386,6797.13
2017-11-14 05:00:00 UTC,6531.470707,6580.270571,6844.411974,6586.75516,6630.977088,6542.524374,6590.936455,6658.392865,6508.875886,
2017-11-14 06:00:00 UTC,6559.797134,6608.273492,6857.236527,6599.507721,6634.093197,6562.870464,6604.943827,6676.832544,6560.942724,
2017-11-14 07:00:00 UTC,6547.37078,6596.824929,6848.48646,6585.679825,6606.294466,6561.960146,6591.36375,6656.98488,6566.64044,6699.965
2017-11-14 08:00:00 UTC,6488.730775,6546.518769,6771.155586,6526.040904,6553.593698,6501.86834,6554.776519,6640.680848,6498.465299,
2017-11-14 09:00:00 UTC,6494.942508,6556.774115,6782.123036,6550.028353,6557.226382,6506.125362,6561.501481,6619.050866,6499.747756,6603.565
2017-11-14 10:00:00 UTC,6539.608179,6610.214591,6822.65358,6615.03958,6607.061418,6540.749256,6618.746552,6666.668103,6567.846196,6648.878333
2017-11-14 11:00:00 UTC,6455.736362,6561.881725,6751.324682,6573.556851,6565.563416,6466.1365,6553.583607,6629.440509,6515.911165,
2017-11-14 12:00:00 UTC,6370.867614,6508.434026,6690.889096,6526.257887,6513.065672,6385.135503,6516.842365,6564.97505,6469.183485,6558.3225
2017-11-14 13:00:00 UTC,6377.756263,6517.723333,6703.173962,6530.641357,6527.03146,6392.261946,6526.66956,6588.065998,6471.030404,6580.01
2017-11-14 14:00:00 UTC,6438.132668,6576.362686,6779.874581,6578.795806,6572.995564,6443.6948,6582.320556,6612.801406,6498.905381,6593.03
